score,hand_length,action,result,reward,p_hand_1,p_hand_2,p_hand_is_nbj,p_hand_is_busted,d_hand_1,d_hand_length,money
15,2,SURRENDER,surrendered,-10,22,17,False,False,40,1,3495
20,2,RETRY,unsettled,-5,9,22,False,False,21,1,3445
10,2,HIT,unsettled,0,18,3,False,False,6,1,3380
17,2,STAND,win,20,39,5,False,False,44,1,3350
13,2,HIT,unsettled,0,32,5,False,False,47,1,3310
11,2,HIT,unsettled,0,45,3,False,False,51,1,3290
13,2,DOUBLE DOWN,draw,0,35,15,False,False,11,1,3250
13,2,RETRY,unsettled,-5,1,26,False,False,31,1,3240
6,2,HIT,unsettled,0,1,29,False,False,31,1,3235
19,2,DOUBLE DOWN,win,40,21,38,False,False,18,1,3185
17,2,STAND,win,20,19,50,False,False,30,1,3225
21,2,RETRY,unsettled,-5,24,13,True,False,6,1,3235
21,2,HIT,unsettled,0,24,13,True,False,6,1,3230
20,3,STAND,win,20,24,13,False,False,6,1,3230
16,2,SURRENDER,surrendered,-10,44,23,False,False,17,1,3170
12,2,RETRY,unsettled,-5,16,33,False,False,49,1,3160
12,2,STAND,win,20,16,20,False,False,49,1,3155
11,2,DOUBLE DOWN,win,40,47,1,False,False,35,1,3175
16,2,RETRY,unsettled,-5,33,46,False,False,7,1,3195
13,2,DOUBLE DOWN,win,40,33,43,False,False,7,1,3190
12,2,HIT,unsettled,0,12,1,False,False,40,1,3170
20,2,STAND,win,20,11,51,False,False,20,1,3095
14,2,HIT,unsettled,0,33,44,False,False,6,1,3035
17,3,RETRY,unsettled,-5,33,44,False,False,6,1,3035
16,2,SURRENDER,surrendered,-10,10,5,False,False,48,1,3010
13,2,RETRY,unsettled,-5,28,11,False,False,34,1,3000
18,2,STAND,win,20,46,49,False,False,4,1,2975
17,2,HIT,unsettled,0,18,39,False,False,49,1,2975
21,2,DOUBLE DOWN,win,40,11,0,True,False,50,1,2955
18,2,RETRY,unsettled,-5,33,11,False,False,29,1,2995
15,2,RETRY,unsettled,-5,17,50,False,False,15,1,2980
8,2,HIT,unsettled,0,17,2,False,False,15,1,2975
14,2,RETRY,unsettled,-5,42,23,False,False,42,1,2955
14,2,DOUBLE DOWN,draw,0,42,23,False,False,42,1,2950
16,2,DOUBLE DOWN,draw,0,20,7,False,False,7,1,2860
15,2,RETRY,unsettled,-5,45,20,False,False,37,1,2860
19,2,RETRY,unsettled,-5,8,38,False,False,25,1,2815
17,2,SURRENDER,surrendered,-10,8,33,False,False,25,1,2810
10,2,RETRY,unsettled,-5,30,30,False,False,40,1,2760
7,2,RETRY,unsettled,-5,30,40,False,False,40,1,2755
16,2,SURRENDER,surrendered,-10,19,21,False,False,46,1,2740
12,2,RETRY,unsettled,-5,13,39,False,False,24,1,2700
13,2,RETRY,unsettled,-5,13,1,False,False,24,1,2695
18,2,HIT,unsettled,0,13,32,False,False,24,1,2690
15,2,RETRY,unsettled,-5,38,30,False,False,18,1,2660
19,2,RETRY,unsettled,-5,10,8,False,False,39,1,2555
20,2,HIT,unsettled,0,49,37,False,False,26,1,2440
13,2,HIT,unsettled,0,37,15,False,False,5,1,2320
17,3,SURRENDER,surrendered,-10,37,15,False,False,5,1,2320
4,2,DOUBLE DOWN,win,40,14,27,False,False,31,1,2280
